Epoch,2 Conv/MaxPool,3 Conv/MaxPool,4 Conv/MaxPool,5 Conv/MaxPool
1,0.7278,0.8265,0.8368,0.7649
2,0.7944,0.8966,0.9062,0.8744
3,0.8375,0.9034,0.9169,0.8892
4,0.8296,0.9329,0.9265,0.903
5,0.8669,0.9331,0.9413,0.931
