Epoch,2 Conv/MaxPool,3 Conv/MaxPool,4 Conv/MaxPool,5 Conv/MaxPool
1,0.7046,0.4874,0.4558,0.637
2,0.6618,0.296,0.2836,0.3766
3,0.5213,0.2781,0.2257,0.2994
4,0.4944,0.1895,0.2002,0.2703
5,0.4083,0.1895,0.175,0.1892
